Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
C8ORF84	chr8	73978767	74036323	-	NA	SBSPON	NA	gene with protein product	8q21.11	ENSG00000164764	NM_153225	NA
GLUD2	chrX	120181442	120183934	+	NA	GLUDP1,GRID2	glutamate dehydrogenase 2	gene with protein product	4q22.1-q22.2	ENSG00000152208	NM_001286838	8207021|9109504
HTRA4	chr8	38831683	38846181	+	NA	FLJ90724	HtrA serine peptidase 4	gene with protein product	8p11.22	ENSG00000169495	NM_153692	
KISS1R	chr19	917342	921015	+	NA	AXOR12,CPPB1,GPR54,HH8,HOT7T175,KISS-1R	KISS1 receptor	gene with protein product	19p13.3	ENSG00000116014	NM_032551	10100623
LDLRAD2	chr1	22138758	22151714	+	NA	NA	low density lipoprotein receptor class A domain containing 2	gene with protein product	1p36.12	ENSG00000187942	NM_001013693	
NCF2	chr1	183524698	183560011	-	NA	NCF-2,NOXA2,P67-PHOX,P67PHOX,CHRONIC GRANULOMATOUS DISEASE, AUTOSOMAL 2	neutrophil cytosolic factor 2	gene with protein product	1q25.3	ENSG00000116701	NM_000433	
LPP	chr3	187930721	188608460	+	CGC OG	LIPOMA PREFERRED PARTNER GENE	LIM domain containing preferred translocation partner in lipoma	gene with protein product	3q27.3-q28	ENSG00000145012	NM_005578	8812423
NR2E1	chr6	108487262	108510013	+	NA	TLX,XTLL	nuclear receptor subfamily 2 group E member 1	gene with protein product	6q21	ENSG00000112333	NM_001286102	9628820
PTP4A3	chr8	142402095	142441620	+	NA	PRL-3,PRL-R,PRL3	protein tyrosine phosphatase type IVA, member 3	gene with protein product	8q24.3	ENSG00000184489	NM_032611	
ABCA12	chr2	215796266	216003151	-	NA	ARCI4A,ARCI4B,ICR2B,LI2,DKFZP434G232,ABC12	ATP binding cassette subfamily A member 12	gene with protein product	2q35	ENSG00000144452	NM_173076	11435397|12915478|8845852|10094194
SERF1B	chr5	69321096	69338940	+	NA	FAM2B,H4F5,H4F5C	small EDRK-rich factor 1B	gene with protein product	5q13.2	ENSG00000205572	NM_022978	
FXYD2	chr11	117672445	117698783	-	NA	ATP1G1,HOMG2,MGC12372,ATP1C	FXYD domain containing ion transport regulator 2	gene with protein product	11q23.3	ENSG00000137731	NM_021603	9048881|9915957
CNTNAP3	chr9	39072764	39288300	-	NA	CASPR3,CNTNAP3A,FLJ14195,KIAA1714,CELL RECOGNITION MOLECULE CASPR3	contactin associated protein like 3	gene with protein product	9p12	ENSG00000106714	NM_033655	12093160
ARHGAP30	chr1	161016739	161039760	-	NA	FLJ00267	Rho GTPase activating protein 30	gene with protein product	1q23.3	ENSG00000186517	NM_181720	
GDF10	chr10	48425815	48438976	-	NA	BMP-3B,BMP3B	growth differentiation factor 10	gene with protein product	10q11.22	ENSG00000266524	NM_004962	8679252
KCNK3	chr2	26915619	26956288	+	NA	K2P3.1,PPH4,TASK,TASK-1,TBAK1,TASK1	potassium two pore domain channel subfamily K member 3	gene with protein product	2p23.3	ENSG00000171303	NM_002246	9312005|9721223|16382106
GIMAP1	chr7	150413645	150421372	+	NA	HIMAP1,IMAP1,IMAP38,IMMUNE-ASSOCIATED NUCLEOTIDE-BINDING PROTEIN 2	GTPase, IMAP family member 1	gene with protein product	7q36.1	ENSG00000213203	NM_130759	15474311|18701445
WIPF1	chr2	175425498	175547627	-	NA	PRPL-2,WAS2,WASPIP,WIP	WAS/WASL interacting protein family member 1	gene with protein product	2q31.1	ENSG00000115935	NM_003387	9405671
DES	chr2	220283099	220291461	+	NA	CSM1,CSM2,LGMD2R,CMD1I,TMP_LOCUS_29,INTERMEDIATE FILAMENT PROTEIN	desmin	gene with protein product	2q35	ENSG00000175084	NM_001927	2673923|9736733
DNAJC12	chr10	69556423	69597922	-	NA	JDP1,J DOMAIN PROTEIN 1	DnaJ heat shock protein family (Hsp40) member C12	gene with protein product	10q21.3	ENSG00000108176	NM_021800	10760603
KLHL6	chr3	183205319	183273477	-	NA	KLHL7,FLJ00029,KELCH-LIKE PROTEIN KLHL6	kelch like family member 6	gene with protein product	7p15.3	ENSG00000122550	NM_018846	11214971|12617994
COL22A1	chr8	139600478	139926236	-	NA	NA	collagen type XXII alpha 1 chain	gene with protein product	8q24.23-q24.3	ENSG00000169436	XM_291257	15016833
PTPRN2	chr7	157331750	158380480	-	NA	IA-2BETA,IAR,ICAAR,PTPRP,R-PTP-N2,KIAA0387,PHOGRIN,IAR PTPRP	protein tyrosine phosphatase, receptor type N2	gene with protein product	7q36.3	ENSG00000155093	NM_001308267	8954911|9220540
TNXB	chr6	32008931	32077151	-	NA	EDS3,TENX,TN-X,TNXB1,TNXB2,TNXBS,VUR8,XB,XBS	tenascin XB	gene with protein product	6p21.33-p21.32	ENSG00000168477	NM_019105	8530023
CBFA2T3	chr16	88941266	89043612	-	CGC TSG	ETO2,MTG16,MTGR2,RUNX1T3,ZMYND4,MYELOID TRANSLOCATION GENE 8 AND 16B	CBFA2/RUNX1 translocation partner 3	gene with protein product	16q24.3	ENSG00000129993	NM_005187	9790752|20150326
SDR16C5	chr8	57212569	57232734	-	NA	RDH-E2,EPHD-2,RDH#2,RDHE2,RETSDR2,EPIDERMAL RETINOL DEHYDROGENASE 2	short chain dehydrogenase/reductase family 16C member 5	gene with protein product	8q12.1	ENSG00000170786	NM_138969	12372410
DDO	chr6	110712974	110736765	-	NA	DASOX,DDO-1,DDO-2	D-aspartate oxidase	gene with protein product	6q21	ENSG00000203797	NM_003649	9163533
WFDC1	chr16	84328252	84363457	+	NA	PS20	WAP four-disulfide core domain 1	gene with protein product	16q24.1	ENSG00000103175	NM_001282466	10967136|21936833
GNA15	chr19	3136191	3163767	+	NA	GNA16	G protein subunit alpha 15	gene with protein product	19p13.3	ENSG00000060558	NM_002068	1302014
KLF1	chr19	12995237	12997995	-	NA	EKLF,ERYTHROID KRUPPEL-LIKE FACTOR	Kruppel like factor 1	gene with protein product	19p13.13	ENSG00000105610	NM_006563	8924208|9119377
GABRB3	chr15	26788699	27184686	-	NA	ECA5,EIEE43,GABA(A) RECEPTOR, BETA 3	gamma-aminobutyric acid type A receptor beta3 subunit	gene with protein product	15q12	ENSG00000166206	NM_000814	
GSTT2	chr22	24322249	24326106	+	NA	EM	glutathione S-transferase theta 2 (gene/pseudogene)	gene with protein product	22q11.23	ENSG00000099984	NM_000854	7789971|9729470
GPR64	chrX	19007427	19140755	-	NA	ADGRG2	NA	gene with protein product	Xp22.13	ENSG00000173698	NM_001079858	NA
IFNA8	chr9	21409146	21410184	+	NA	IFN-ALPHAB,INTERFERON ALPHA TYPE 201	interferon alpha 8	gene with protein product	9p21.3	ENSG00000120242	NM_002170	1385305
NLGN3	chrX	70364681	70391049	+	NA	HNL3,ASPGX1,AUTSX1,KIAA1480,NL3	neuroligin 3	gene with protein product	Xq13.1	ENSG00000196338	NM_018977	10767552|10819331
NFATC2	chr20	50005163	50179370	-	CGC OG	NFAT1,NFATP,NF-ATP	nuclear factor of activated T-cells 2	gene with protein product	20q13.2	ENSG00000101096	NM_012340	8202141
CILP2	chr19	19649057	19657468	+	NA	CLIP-2,MGC45771	cartilage intermediate layer protein 2	gene with protein product	19p13.11	ENSG00000160161	NM_153221	12477932
FBXO41	chr2	73481818	73511559	-	NA	FBX41,KIAA1940	F-box protein 41	gene with protein product	2p13.2	ENSG00000163013	NM_001080410	11853319
TBX21	chr17	45810610	45823485	+	NA	T-BET,T-PET,TBET,TBLYM	T-box 21	gene with protein product	17q21.32	ENSG00000073861	NM_013351	
CCKBR	chr11	6280966	6293357	+	NA	CCK-B,CCK2R,GASR,CCKRB	cholecystokinin B receptor	gene with protein product	11p15.4	ENSG00000110148	NM_176875	1280419
CPA4	chr7	129932974	129964020	+	NA	CPA3,CARBOXYPEPTIDASE A3	carboxypeptidase A4	gene with protein product	7q32.2	ENSG00000128510	NM_016352	10383164|10860668
SLC26A5	chr7	102993177	103086598	-	NA	DFNB61,PRES	solute carrier family 26 member 5	gene with protein product	7q22.1	ENSG00000170615	NM_198999	10821263
BEX5	chrX	101408684	101411029	-	NA	NGFRAP1L1,NADE2	brain expressed X-linked 5	gene with protein product	Xq22.1	ENSG00000184515	NM_001159560	16221301
CTNNA2	chr2	79412357	80875904	+	CGC OG	CAP-R,CAPR,CT114,CTNR,ALPHA-N-CATENIN	catenin alpha 2	gene with protein product	2p12	ENSG00000066032	NM_004389	8432524
KCNS1	chr20	43720951	43729753	-	NA	KV9.1	potassium voltage-gated channel modifier subfamily S member 1	gene with protein product	20q13.12	ENSG00000124134	NM_002251	9305895|16382104
PKHD1L1	chr8	110374706	110542559	+	NA	PKHDL1	PKHD1 like 1	gene with protein product	8q23.1-q23.2	ENSG00000205038	NM_177531	12620974
SIGLEC9	chr19	51628165	51639908	+	NA	CD329,CDW329,FOAP-9,OBBP-LIKE,SIGLEC-9	sialic acid binding Ig like lectin 9	gene with protein product	19q13.3-q13.4	ENSG00000129450	NM_014441	10903842
AVP	chr20	3063202	3065370	-	NA	ADH,ARVP,AVP-NPII,AVRP,VP,NLRP3	arginine vasopressin	gene with protein product	1q44	ENSG00000162711	NM_004895	1840604
CFI	chr4	110661850	110723335	-	NA	IF,AHUS3,ARMD13,C3B-INA,C3BINA,FI,KAF	complement factor I	gene with protein product	4q25	ENSG00000205403	NM_000204	2956252
FA2H	chr16	74746853	74808723	-	NA	FAAH,FAH1,FAXDC1,SCS7,SPG35,FLJ25287	fatty acid 2-hydroxylase	gene with protein product	1p33	ENSG00000117480	NM_001441	20104589
VWA2	chr10	115999089	116051272	+	NA	AMACO,CCSP-2,NET42,FLJ16213,FLJ45857	von Willebrand factor A domain containing 2	gene with protein product	10q25.3	ENSG00000165816	NM_198496	15580307|14506275
OSTBETA	chr15	65337708	65345734	+	NA	SLC51B	NA	gene with protein product	15q22.31	ENSG00000186198	NM_178859	NA
ADAMTSL3	chr15	84322838	84708594	+	NA	ADAMTSL-3,KIAA1233,PUNCTIN-2	ADAMTS like 3	gene with protein product	15q25.2	ENSG00000156218	NM_207517	9628581|10574462
DOK3	chr5	176928908	176937386	-	NA	DOKL,FLJ22570	docking protein 3	gene with protein product	5q35.3	ENSG00000146094	NM_024872	10733577|12595900
IGFBPL1	chr9	38408991	38424444	-	NA	BA113O24.1,IGFBP-RP4,IGFBPRP4	insulin like growth factor binding protein like 1	gene with protein product	9p13.1	ENSG00000137142	XM_294567	
ALOX12	chr17	6899384	6914055	+	NA	12S-LOX,LOG12,12LO,ARACHIDONATE 12-LIPOXYGENASE, 12S-TYPE	arachidonate 12-lipoxygenase, 12S type	gene with protein product	17p13.1	ENSG00000108839	NM_000697	1570320
GJB5	chr1	35220648	35224113	+	NA	CX31.1,CONNEXIN 31.1	gap junction protein beta 5	gene with protein product	1p34.3	ENSG00000189280	NM_005268	9843209
CDH23	chr10	73156691	73575704	+	NA	CDHR23,USH1D,DFNB12	cadherin related 23	gene with protein product	10q22.1	ENSG00000107736	NM_052836	11090341
GIMAP5	chr7	150419341	150440734	+	NA	HIMAP3,IAN-5,IAN4,IAN4L1,IAN5,IMAP3,IROD	GTPase, IMAP family member 5	gene with protein product	7q36.1	ENSG00000196329	NM_018384	
FSD1	chr19	4304597	4323833	+	NA	GLFND,MIR1,MGC3213	fibronectin type III and SPRY domain containing 1	gene with protein product	19p13.3	ENSG00000105255	NM_024333	11267680
FGD2	chr6	36973423	36996846	+	NA	MRAP,ZFYVE4	FYVE, RhoGEF and PH domain containing 2	gene with protein product	21q22.11	ENSG00000170262	NM_178817	10458911
GRM3	chr7	86273230	86494200	+	CGC OG	GPRC1C,MGLU3,MGLUR3	glutamate metabotropic receptor 3	gene with protein product	7q21.11-q21.12	ENSG00000198822	NM_000840	8824806
DOC2B	chr17	6011	31427	-	NA	DOC2BL	double C2 domain beta	gene with protein product	17p13.3	ENSG00000272636	NM_003585	7826360
SLC5A2	chr16	31494439	31502089	+	NA	SGLT2	solute carrier family 5 member 2	gene with protein product	16p11.2	ENSG00000140675	NM_003041	8244402
KCNJ15	chr21	39529128	39671328	+	NA	IRKK,KIR1.3,KIR4.2,KCNJ14	potassium voltage-gated channel subfamily J member 15	gene with protein product	21q22.13-q22.2	ENSG00000157551	NM_002243	9299242|8995301|16382105
TMEM79	chr1	156252726	156262234	+	NA	MATT,FLJ16057,FLJ32254,MGC13102,MATTRIN	transmembrane protein 79	gene with protein product	1q22	ENSG00000163472	NM_032323	
HCN1	chr5	45255052	45696436	-	NA	BCNG-1,BCNG1,EIEE24,HAC-2	hyperpolarization activated cyclic nucleotide gated potassium channel 1	gene with protein product	5p12	ENSG00000164588	NM_021072	9405696|9630217|16382102
HTR2C	chrX	113818551	114144624	+	NA	5-HT1C,5-HT2C,5-HTR2C,5HTR2C,HTR1C	5-hydroxytryptamine receptor 2C	gene with protein product	Xq23	ENSG00000147246	NM_000868	7895773
ZNF124	chr1	247285277	247335307	-	NA	HZF-16,HZF16,ZK7	zinc finger protein 124	gene with protein product	1q44	ENSG00000196418	NM_003431	7916577
RGPD1	chr2	87135076	87241099	+	NA	RGP1,RGPD2,RANBP2L6	RANBP2-like and GRIP domain containing 1	gene with protein product	2p11.2	ENSG00000185304	NM_001078170	15710750|15815621
CYTH4	chr22	37678424	37711386	+	NA	CYT4,CYTOHESIN-4,DJ63G5.1,PSCD4	cytohesin 4	gene with protein product	22q13.1	ENSG00000100055	NM_001318024	10591208
GABRG3	chr15	27216429	27787137	+	NA	GABA(G) RECEPTOR, GAMMA 3	gamma-aminobutyric acid type A receptor gamma3 subunit	gene with protein product	15q12	ENSG00000182256	NM_001270873	7601451
GPR149	chr3	154055461	154147504	-	NA	IEDA,PGR10,R35	G protein-coupled receptor 149	gene with protein product	3q25.2	ENSG00000174948	XM_293580	11161467|12679517
PM20D1	chr1	205797154	205819260	-	NA	CPS1,FLJ32569	peptidase M20 domain containing 1	gene with protein product	1q32.1	ENSG00000162877	NM_152491	
PHYHIP	chr8	22077234	22089854	-	NA	DYRK1AP3,PAHX-AP,PAHXAP1,KIAA0273	phytanoyl-CoA 2-hydroxylase interacting protein	gene with protein product	8p21.3	ENSG00000168490	NM_014759	9039502|10686344
CD300LB	chr17	72517313	72527605	-	NA	CD300B,CLM-7,CLM7,CMRF35-A2,IREM-3,IREM3,TREM-5,TREM5,CMRF35A2,LMIR5,TRIGGERING RECEPTOR EXPRESSED ON MYELOID CELLS 5	CD300 molecule like family member b	gene with protein product	17q25.1	ENSG00000178789	NM_174892	12975309
PDX1	chr13	28494157	28500368	+	NA	GSF,IDX-1,IPF1,IUF1,MODY4,PAGEN1,PDX-1,STF-1,PDHX	pancreatic and duodenal homeobox 1	gene with protein product	13q12.2	ENSG00000139515	NM_000209	7590740
MT1B	chr16	56685811	56687116	+	NA	MT-1B,MT-IB,MT1Q	metallothionein 1B	gene with protein product	16q13	ENSG00000169688	NM_005947	6089206|3785191
HLA-DPA1	chr6	33032346	33048487	-	NA	DP(W3),DP(W4),HLA-DP1A,HLADP,HLASB,PLT1	major histocompatibility complex, class II, DP alpha 1	gene with protein product	6p21.32	ENSG00000231389	NM_033554	6584734
NKX2-1	chr14	36985622	36990354	-	CGC TSG/OG	BHC,NK-2,NKX2.1,NKX2A,NMTC1,T/EBP,TITF1,TTF-1,TTF1	NK2 homeobox 1	gene with protein product	9q34.13	ENSG00000125482	NM_007344	1976511
CD36	chr7	79998891	80303725	+	NA	BDPLT10,CHDS7,GP3B,GP4,GPIV,PASIV,SCARB3	CD36 molecule	gene with protein product	7q21.11	ENSG00000135218	NM_001001547	7503937
CABP1	chr12	121078355	121105114	+	NA	S100G,CALBRAIN,HCALB_BR,CALDENDRIN	calcium binding protein 1	gene with protein product	Xp22.2	ENSG00000169906	NM_004057	9920909|10625670
ANO3	chr11	26331146	26682227	+	NA	DYT23,C11ORF25,DYT24,GENX-3947,TMEM16C	anoctamin 3	gene with protein product	11p14.2	ENSG00000134343	NM_031418	12739008|15067359|23200863|24692353
FOXI3	chr2	88746306	88752174	-	NA	NA	forkhead box I3	gene with protein product	2p11.2	ENSG00000214336	NM_001135649	18787161
NEBL	chr10	21072835	21463116	-	NA	LASP2,LNEBL,LIM-NEBULETTE	nebulette	gene with protein product	10p12.31	ENSG00000078114	NM_006393	9733644|10470015
ABCC2	chr10	101542489	101611949	+	NA	ABC30,CMOAT,CMRP,DJS,MRP2,CMOAT1	ATP binding cassette subfamily C member 2	gene with protein product	10q24.2	ENSG00000023839	NM_000392	8797578|9284939
COL11A2	chr6	33130458	33160276	-	NA	DFNA13,DFNB53,FBCG2,HKE5,STL3	collagen type XI alpha 2 chain	gene with protein product	6p21.32	ENSG00000204248	NM_001163771	7559422|10581026|22246659
MPZ	chr1	161274525	161279762	-	NA	CMT4E,CHM,CMT1,CMT1B,CMT2I,CMT2J,CMTDI3,CMTDID,HMSNIB	myelin protein zero	gene with protein product	1q23.3	ENSG00000158887	NM_000530	7693129
HOXB13	chr17	46802125	46806540	-	NA	PSGD	homeobox B13	gene with protein product	17q21.32	ENSG00000159184	NM_006361	8756292|9665387
LDHD	chr16	75145758	75150665	-	NA	DLD	lactate dehydrogenase D	gene with protein product	16q23.1	ENSG00000166816	NM_153486	12127981
JPH3	chr16	87635441	87731533	+	NA	CAGL237,HDL2,JP-3,JP3,TNRC22	junctophilin 3	gene with protein product	16q24.2	ENSG00000154118	NM_001271604	10949023|10891348
DGKK	chrX	50108408	50213737	-	NA	NA	diacylglycerol kinase kappa	gene with protein product	Xp11.22	ENSG00000274588	NM_001013742	16210324
PROK2	chr3	71820807	71834357	-	NA	BV8,HH4,KAL4,MIT1,PROTEIN BV8 HOMOLOG	prokineticin 2	gene with protein product	3p13	ENSG00000163421	NM_001126128	11054548|11259612
MCHR1	chr22	41074754	41078818	+	NA	GPR24,MCH-1R,MCH1R,SLC-1,SLC1	melanin concentrating hormone receptor 1	gene with protein product	22q13.2	ENSG00000128285	NM_005297	
CALB2	chr16	71392616	71424339	+	NA	CAB29,CAL2,CALRETININ	calbindin 2	gene with protein product	16q22.2	ENSG00000172137	NM_001740	1906795
HLA-DPB1	chr6	33043703	33054978	+	NA	DPB1,HLA-DP,HLA-DP1B,HLA-DPB	major histocompatibility complex, class II, DP beta 1	gene with protein product	6p21.32	ENSG00000223865	NM_002121	
HLA-DMA	chr6	32916548	32936221	-	NA	D6S222E,DMA,HLADM,RING6	major histocompatibility complex, class II, DM alpha	gene with protein product	6p21.32	ENSG00000204257	NM_006120	1922385
CHST8	chr19	34112861	34264413	+	NA	GALNAC4ST,GALNAC4ST1,PSS3,GALNAC-4-ST1	carbohydrate sulfotransferase 8	gene with protein product	19q13.11	ENSG00000124302	NM_022467	10988300|11001942
DEGS2	chr14	100610294	100626500	-	NA	C14ORF66,DES2,FADS8	delta 4-desaturase, sphingolipid 2	gene with protein product	14q32.2	ENSG00000168350	NM_206918	
ALPK2	chr18	56148479	56296189	-	NA	HAK,HEART ALPHA-KINASE	alpha kinase 2	gene with protein product	18q21.31-q21.32	ENSG00000198796	NM_052947	10021370
C1ORF162	chr1	112016414	112021134	+	NA	MGC24133	chromosome 1 open reading frame 162	gene with protein product	1p13.2	ENSG00000143110	NM_174896	12477932
LTB4R	chr14	24780705	24786152	+	NA	BLT1,BLTR,CMKRL1,GPR16,LTB4R1,LTBR1,P2RY7,P2Y7,BLT	leukotriene B4 receptor	gene with protein product	14q12	ENSG00000213903	NM_001143919	8921391|8702478
RAB6C	chr2	130737237	130740311	+	NA	WTH3,RAB6C,WTH3DIGN	RAB6C, member RAS oncogene family	gene with protein product	2q21.1	ENSG00000222014	NM_032144	11054569|17426708
SOX30	chr5	157053183	157098488	-	NA	NA	SRY-box 30	gene with protein product	5q33.3	ENSG00000039600	NM_007017	15019997|11678506
DOK7	chr4	3465038	3496210	+	NA	CMS1B,C4ORF25,CMS10,DOK-7,FLJ33718,FLJ39137	docking protein 7	gene with protein product	4p16.3	ENSG00000175920	NM_173660	16794080
ACOXL	chr2	111490150	111875799	+	NA	FLJ11042	acyl-CoA oxidase like	gene with protein product	2q13	ENSG00000153093	NM_018308	
COL9A3	chr20	61448414	61472511	+	NA	DJ885L7.4.1,EDM3,FLJ90759,COLLAGEN TYPE IX PROTEOGLYCAN	collagen type IX alpha 3 chain	gene with protein product	20q13.33	ENSG00000092758	NM_001853	8586434|1429648|24273071
LRRTM3	chr10	68685764	68859588	+	NA	NA	leucine rich repeat transmembrane neuronal 3	gene with protein product	10q21.3	ENSG00000198739	NM_178011	12676565
FUT9	chr6	96463860	96663488	+	NA	FUC-TIX,ALPHA (1,3) FUCOSYLTRANSFERASE	fucosyltransferase 9	gene with protein product	6q16.1	ENSG00000172461	NM_006581	10386598|10575236
PLCB2	chr15	40580108	40600123	-	NA	PLC-BETA-2,FLJ38135	phospholipase C beta 2	gene with protein product	15q15.1	ENSG00000137841	NM_001284297	1644792|9925923
SLFN12L	chr17	33801923	33864880	-	NA	SLFN5	schlafen family member 12 like	gene with protein product	17q12	ENSG00000205045	XM_496206	9846487
DBX1	chr11	20177701	20182159	-	NA	NA	developing brain homeobox 1	gene with protein product	11p15.1	ENSG00000109851	NM_001029865	11239429
RET	chr10	43572475	43625799	+	CGC OG	PTC,CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,RET-ELE1,RET51	ret proto-oncogene	gene with protein product	10q11.21	ENSG00000165731	NM_020975	2687772|1611909
SCN2A	chr2	166095882	166249242	+	NA	HBSCI,BFIC3,BFIS3,BFNIS,EIEE11,HBSCII,NA(V)1.2,NAV1.2,SCN2A1,SCN2A2	sodium voltage-gated channel alpha subunit 2	gene with protein product	2q24.3	ENSG00000136531	NM_021007	1317301|16382098
LPL	chr8	19759228	19811662	+	NA	LCP1,HDLCQ11,LIPD	lipoprotein lipase	gene with protein product	8p21.3	ENSG00000175445	NM_000237	3823907|3597382|3692485
CD79B	chr17	62006100	62009714	-	CGC OG	AGM6,B29,IGB	CD79b molecule	gene with protein product	17q23.3	ENSG00000007312	NM_000626	9545642
PPP1R1A	chr12	54969171	54982300	-	NA	IPP1	protein phosphatase 1 regulatory inhibitor subunit 1A	gene with protein product	12q13.2	ENSG00000135447	NM_006741	8611507
TTLL9	chr20	30458505	30532764	+	NA	C20ORF125,DJ310O13.1	tubulin tyrosine ligase like 9	gene with protein product	20q11	ENSG00000131044	NM_001008409	15890843
CSF3	chr17	38171614	38174066	+	NA	C17ORF33,CSF3OS,GCSF,G-CSF,MGC45931	colony stimulating factor 3	gene with protein product	17q21.1	ENSG00000108342	NM_172220	3499671|3501046
FMO2	chr1	171154347	171180369	+	NA	FMO1B1,FMO4	flavin containing monooxygenase 2	gene with protein product	1q24.3	ENSG00000076258	NM_002022	1417778|9804831
ZCCHC12	chrX	117957753	117960931	+	NA	PNMA7A,SIZN,SIZN1,FLJ16123,PARANEOPLASTIC MA ANTIGEN FAMILY MEMBER 7A	zinc finger CCHC-type containing 12	gene with protein product	Xq24	ENSG00000174460	NM_173798	21739307|19578717
DRGX	chr10	50572226	50603497	-	NA	DRG11,PRRXL1	dorsal root ganglia homeobox	gene with protein product	10q11.23	ENSG00000165606	XM_060970	7496632
P2RX1	chr17	3799886	3819794	-	NA	P2X1	purinergic receptor P2X 1	gene with protein product	17p13.3	ENSG00000108405	NM_002558	8834001
CACNG6	chr19	54495542	54515923	+	NA	NA	calcium voltage-gated channel auxiliary subunit gamma 6	gene with protein product	19q13.42	ENSG00000130433	NM_031897	11170751
